,Date,Open
20864,2011-01-31,1276.5
20869,2011-02-07,1311.849976
20874,2011-02-14,1328.72998
20883,2011-02-28,1321.609985
20888,2011-03-07,1322.719971
20893,2011-03-14,1301.189941
20898,2011-03-21,1281.650024
20903,2011-03-28,1315.449951
20908,2011-04-04,1333.560059
20913,2011-04-11,1329.01001
20918,2011-04-18,1313.349976
20922,2011-04-25,1337.140015
20927,2011-05-02,1365.209961
20932,2011-05-09,1340.199951
20937,2011-05-16,1334.77002
20942,2011-05-23,1333.069946
20951,2011-06-06,1300.26001
20956,2011-06-13,1271.310059
20961,2011-06-20,1271.5
20966,2011-06-27,1268.439941
20975,2011-07-11,1343.310059
20980,2011-07-18,1315.939941
20985,2011-07-25,1344.319946
20990,2011-08-01,1292.589966
20995,2011-08-08,1198.47998
21000,2011-08-15,1178.859985
21005,2011-08-22,1123.550049
21010,2011-08-29,1177.910034
21019,2011-09-12,1153.5
21024,2011-09-19,1214.98999
21029,2011-09-26,1136.910034
21034,2011-10-03,1131.209961
21039,2011-10-10,1158.150024
21044,2011-10-17,1224.469971
21049,2011-10-24,1238.719971
21054,2011-10-31,1284.959961
21059,2011-11-07,1253.209961
21064,2011-11-14,1263.849976
21069,2011-11-21,1215.619995
21073,2011-11-28,1158.670044
21078,2011-12-05,1244.329956
21083,2011-12-12,1255.050049
21088,2011-12-19,1219.73999
21101,2012-01-09,1277.829956
21110,2012-01-23,1315.290039
21115,2012-01-30,1316.160034
21120,2012-02-06,1344.319946
21125,2012-02-13,1343.060059
21134,2012-02-27,1365.199951
21139,2012-03-05,1369.589966
21144,2012-03-12,1370.780029
21149,2012-03-19,1404.170044
21154,2012-03-26,1397.109985
21159,2012-04-02,1408.469971
21163,2012-04-09,1397.449951
21168,2012-04-16,1370.27002
21173,2012-04-23,1378.530029
21178,2012-04-30,1403.26001
21183,2012-05-07,1368.790039
21188,2012-05-14,1351.930054
21193,2012-05-21,1295.72998
21202,2012-06-04,1278.290039
21207,2012-06-11,1325.719971
21212,2012-06-18,1342.420044
21217,2012-06-25,1334.900024
21222,2012-07-02,1362.329956
21223,2012-07-03,1365.75
21226,2012-07-09,1354.660034
21231,2012-07-16,1356.5
21236,2012-07-23,1362.339966
21241,2012-07-30,1385.939941
21246,2012-08-06,1391.040039
21251,2012-08-13,1405.869995
21256,2012-08-20,1417.849976
